arm,sweep,model,repeat_index,task,signature,test,weight,threshold_p,n,block_len,theta,null,boot_p,direction_correct
panel,rebuttal_v1_launch_20260724_211936,gemini-3-flash-preview,0,effort_foraging,above_chance_mvt_match,proportion_test,1.5,0.05,80,4,0.25,0.5,0.9975012493753124,False
panel,rebuttal_v1_launch_20260724_211936,gemini-3-flash-preview,0,effort_foraging,above_chance_total_reward,proportion_test,1.0,0.05,80,4,0.425,0.5,0.8175912043978011,False
panel,rebuttal_v1_launch_20260724_211936,gemini-3-flash-preview,0,effort_foraging,harvest_rt_speedup,correlation_test,1.0,0.05,80,4,-0.071379162134819,0.0,0.4397801099450275,True
panel,rebuttal_v1_launch_20260724_211936,gemini-3-flash-preview,0,grid_bandit,kraken_avoidance_in_risky,proportion_test,1.5,0.05,50,4,0.12,0.5,0.0004997501249375312,True
panel,rebuttal_v1_launch_20260724_211936,gemini-3-flash-preview,0,grid_bandit,value_directed_exploitation,correlation_test,1.5,0.05,99,5,-0.40941953962554134,0.0,0.0024987506246876563,True
panel,rebuttal_v1_launch_20260724_211936,gemini-3-flash-preview,0,grid_bandit,above_chance_reward,proportion_test,1.0,0.05,110,5,0.8,0.5,0.0004997501249375312,True
panel,rebuttal_v1_launch_20260724_211936,gemini-3-flash-preview,0,grid_bandit,within_block_learning,correlation_test,1.0,0.05,110,5,0.3564282040377266,0.0,0.00399800099950025,True
panel,rebuttal_v1_launch_20260724_211936,gemini-3-flash-preview,0,grid_bandit,within_block_rt_speedup,correlation_test,1.0,0.05,110,5,0.36516775463573686,0.0,1.0,False
panel,rebuttal_v1_launch_20260724_211936,gemini-3-flash-preview,0,marbles_risk,ev_sensitivity,correlation_test,2.0,0.05,64,4,0.5553666541712134,0.0,0.0004997501249375312,True
panel,rebuttal_v1_launch_20260724_211936,gemini-3-flash-preview,0,marbles_risk,above_chance_ev_optimal,proportion_test,1.5,0.05,60,4,0.9333333333333333,0.5,0.0004997501249375312,True
