run_index,repeat_index,model_id,task_id,rc,wall_time,composite,l1,l2,l3
0,0,gemini-3-flash-preview,repeated_games,0,238.8,36.32,1.0000,0.3411,0.1875
1,0,gemini-3-flash-preview,serial_recall_v2,0,217.5,64.02,0.6000,0.5898,0.6875
2,0,gemini-3-flash-preview,grid_bandit,0,520.4,84.17,1.0000,0.5478,1.0000
3,0,gemini-3-flash-preview,marbles_risk,0,695.0,81.92,1.0000,0.4833,1.0000
4,0,gemini-3-flash-preview,effort_foraging,0,435.4,45.02,1.0000,0.6989,0.1111
5,0,gemini-3-flash-preview,random_dot_motion_v2,0,1116.2,39.94,1.0000,0.0697,0.4500
6,0,gemini-3-flash-preview,tiny_alchemy,0,572.1,26.17,1.0000,0.3191,0.0000
7,0,gemini-3-flash-preview,moral_machine,0,437.2,78.74,1.0000,0.7823,0.7273
8,0,gemini-3-flash-preview,visual_recognition,0,1201.7,15.09,1.0000,0.0025,0.0000
9,0,gemini-3-flash-preview,phishing_detection_v2,0,544.3,85.50,1.0000,0.8237,0.8333
10,0,grok-4.1-fast,marbles_risk,0,291.0,22.92,0.4000,0.4833,0.0000
11,0,grok-4.1-fast,serial_recall_v2,0,432.9,14.18,0.6000,0.1481,0.0000
12,0,grok-4.1-fast,repeated_games,0,776.1,74.17,1.0000,0.7977,0.6250
13,0,grok-4.1-fast,random_dot_motion_v2,1,1804.5,,,,
14,0,grok-4.1-fast,grid_bandit,1,1804.6,,,,
15,0,grok-4.1-fast,visual_recognition,0,1420.1,16.18,0.8000,0.1195,0.0000
16,0,grok-4.1-fast,effort_foraging,0,1390.2,22.26,1.0000,0.2073,0.0000
17,0,grok-4.1-fast,moral_machine,0,464.2,32.45,0.8000,0.5842,0.0000
18,0,glm-4.6v,random_dot_motion_v2,1,179.6,,,,
19,0,glm-4.6v,grid_bandit,1,177.4,,,,
20,0,glm-4.6v,marbles_risk,1,176.8,,,,
21,0,glm-4.6v,repeated_games,1,170.0,,,,
22,0,glm-4.6v,serial_recall_v2,1,173.1,,,,
23,0,glm-4.6v,visual_recognition,1,158.1,,,,
24,0,glm-4.6v,effort_foraging,1,186.3,,,,
25,0,glm-4.6v,tiny_alchemy,1,180.7,,,,
26,0,glm-4.6v,moral_machine,1,167.1,,,,
27,0,glm-4.6v,phishing_detection_v2,1,165.2,,,,
28,0,grok-4.1-fast,tiny_alchemy,1,1804.5,,,,
29,0,grok-4.1-fast,phishing_detection_v2,1,1803.7,,,,
30,0,kimi-k2.5,random_dot_motion_v2,0,339.7,13.06,0.4000,0.2018,0.0000
31,0,kimi-k2.5,repeated_games,0,429.9,75.81,1.0000,0.8444,0.6250
32,0,kimi-k2.5,serial_recall_v2,0,344.9,38.63,0.6000,0.3109,0.3750
33,0,kimi-k2.5,grid_bandit,1,1804.4,,,,
34,0,kimi-k2.5,marbles_risk,1,1804.4,,,,
35,0,kimi-k2.5,effort_foraging,0,1189.1,51.07,1.0000,0.7132,0.2222
36,0,kimi-k2.5,visual_recognition,1,1803.2,,,,
37,0,qwen3-vl-235b-instruct,random_dot_motion_v2,0,205.8,6.00,0.4000,0.0000,0.0000
38,0,kimi-k2.5,tiny_alchemy,0,773.1,72.50,0.6000,0.8619,0.6667
39,0,kimi-k2.5,moral_machine,0,1390.6,80.62,1.0000,0.8359,0.7273
