sweep,run_index,repeat_index,replicate_id,model_id,task_id,rc,wall_time,scored,l1_complete,l3_measurable,composite,l1,l2,l3,l3_n_testable,l3_n_untestable,l3_n_errors,l3_coverage,n_trials,observation_mode,git_sha,session_id
random_floor_v12_20260726_201120,1,0,random_floor_v12_20260726_201120#0,random,grid_bandit,0,47.6,True,True,True,33.58,1.0000,0.0547,0.3333,5,0,0,1.0,110,,74d86baa428687bdf28f363b660ac53841a63ebd,20e0ce5e-f4bb-4b39-bf83-3345ae6aebc1
random_floor_v12_20260726_201120,3,0,random_floor_v12_20260726_201120#0,random,repeated_games,0,62.5,True,True,True,39.83,1.0000,0.3523,0.2500,4,0,0,1.0,30,,74d86baa428687bdf28f363b660ac53841a63ebd,ac6c10dc-b41d-4ff4-8f08-7f7df4fbb36a
random_floor_v12_20260726_201120,4,0,random_floor_v12_20260726_201120#0,random,serial_recall_v2,0,78.8,True,True,True,21.48,1.0000,0.1851,0.0000,5,0,0,1.0,16,,74d86baa428687bdf28f363b660ac53841a63ebd,935c5004-ca31-43f4-9758-361697a91199
random_floor_v12_20260726_201120,2,0,random_floor_v12_20260726_201120#0,random,marbles_risk,0,99.2,True,True,True,33.53,1.0000,0.0098,0.3636,4,0,0,1.0,64,,74d86baa428687bdf28f363b660ac53841a63ebd,5ce6be1e-7a9d-4b5a-a7ac-48a4fea8cbfb
random_floor_v12_20260726_201120,7,0,random_floor_v12_20260726_201120#0,random,tiny_alchemy,0,43.4,True,True,True,18.50,1.0000,0.1001,0.0000,2,0,0,1.0,80,,74d86baa428687bdf28f363b660ac53841a63ebd,8c3f644f-99f5-4ace-9d47-28929e38f981
random_floor_v12_20260726_201120,8,0,random_floor_v12_20260726_201120#0,random,moral_machine,0,65.6,True,True,True,31.58,1.0000,0.3309,0.1000,4,1,0,0.9091,40,,74d86baa428687bdf28f363b660ac53841a63ebd,3666e925-33a2-4c97-bcb7-510493325014
random_floor_v12_20260726_201120,0,0,random_floor_v12_20260726_201120#0,random,random_dot_motion_v2,0,153.7,True,True,True,32.90,1.0000,0.0116,0.3500,4,0,0,1.0,100,,74d86baa428687bdf28f363b660ac53841a63ebd,7840599f-5f08-4e0f-a379-ac1bd666cf34
random_floor_v12_20260726_201120,9,0,random_floor_v12_20260726_201120#0,random,phishing_detection_v2,0,148.9,True,True,True,26.83,1.0000,0.0134,0.2273,4,0,0,1.0,60,,74d86baa428687bdf28f363b660ac53841a63ebd,bfff8969-9dbc-45fc-8e27-b5ead880d2b5
random_floor_v12_20260726_201120,5,0,random_floor_v12_20260726_201120#0,random,visual_recognition,0,260.7,True,True,True,15.00,1.0000,0.0000,0.0000,3,0,0,1.0,100,,74d86baa428687bdf28f363b660ac53841a63ebd,84668289-a052-4883-848a-46f6108d20dc
random_floor_v12_20260726_201120,6,0,random_floor_v12_20260726_201120#0,random,effort_foraging,0,320.9,True,True,True,26.69,1.0000,0.0742,0.1818,4,0,0,1.0,80,,74d86baa428687bdf28f363b660ac53841a63ebd,bc85c609-85df-44f1-847d-f507f3714d29
random_floor_v12_20260726_201120,11,1,random_floor_v12_20260726_201120#1,random,grid_bandit,0,43.6,True,True,True,34.88,1.0000,0.0323,0.3750,5,0,0,1.0,110,,74d86baa428687bdf28f363b660ac53841a63ebd,493fb3c0-8b05-4477-9938-f34fa0aee18e
random_floor_v12_20260726_201120,13,1,random_floor_v12_20260726_201120#1,random,repeated_games,0,58.8,True,True,True,27.53,1.0000,0.2152,0.1000,4,0,0,1.0,30,,74d86baa428687bdf28f363b660ac53841a63ebd,5f4f9b05-3161-43f0-b4f3-833919882763
random_floor_v12_20260726_201120,14,1,random_floor_v12_20260726_201120#1,random,serial_recall_v2,0,75.0,True,True,True,21.48,1.0000,0.1851,0.0000,5,0,0,1.0,16,,74d86baa428687bdf28f363b660ac53841a63ebd,beeb6ca5-14d3-42dd-bad9-193afe3efc4c
random_floor_v12_20260726_201120,12,1,random_floor_v12_20260726_201120#1,random,marbles_risk,0,94.8,True,True,True,19.70,1.0000,0.0045,0.0909,4,0,0,1.0,64,,74d86baa428687bdf28f363b660ac53841a63ebd,323c188f-d91f-48a0-9c9d-03269b55fa1c
random_floor_v12_20260726_201120,17,1,random_floor_v12_20260726_201120#1,random,tiny_alchemy,0,43.7,True,True,True,17.45,1.0000,0.0700,0.0000,2,0,0,1.0,80,,74d86baa428687bdf28f363b660ac53841a63ebd,93348bc9-0da3-46ab-b40a-6c56619d9da2
random_floor_v12_20260726_201120,18,1,random_floor_v12_20260726_201120#1,random,moral_machine,0,62.6,True,True,True,25.19,1.0000,0.0769,0.1500,4,1,0,0.9091,40,,74d86baa428687bdf28f363b660ac53841a63ebd,b236e16c-84dd-4299-9199-ef2c506c34c4
random_floor_v12_20260726_201120,10,1,random_floor_v12_20260726_201120#1,random,random_dot_motion_v2,0,149.7,True,True,True,23.42,1.0000,0.0264,0.1500,4,0,0,1.0,100,,74d86baa428687bdf28f363b660ac53841a63ebd,c3fa15c4-fe5a-49f5-b99a-ba103c850d15
random_floor_v12_20260726_201120,19,1,random_floor_v12_20260726_201120#1,random,phishing_detection_v2,0,148.4,True,True,True,22.73,1.0000,0.0909,0.0909,4,0,0,1.0,60,,74d86baa428687bdf28f363b660ac53841a63ebd,82b40ff6-03e6-4e73-b133-f38dfa358513
