run_index,repeat_index,model_id,task_id,rc,wall_time,composite,l1,l2,l3
1,0,random,grid_bandit,0,45.9,21.94,1.0000,0.0198,0.1250
3,0,random,repeated_games,0,60.9,51.35,1.0000,0.4672,0.4000
2,0,random,marbles_risk,0,99.2,36.42,1.0000,0.0276,0.4091
4,0,random,serial_recall_v2,0,72.9,21.48,1.0000,0.1851,0.0000
6,0,random,effort_foraging,1,32.1,,,,
7,0,random,tiny_alchemy,1,32.1,,,,
0,0,random,random_dot_motion_v2,0,152.1,46.06,1.0000,0.1731,0.5000
9,0,random,phishing_detection_v2,1,32.1,,,,
8,0,random,moral_machine,0,85.1,38.37,1.0000,0.2392,0.3000
5,0,random,visual_recognition,0,255.5,15.00,1.0000,0.0000,0.0000
13,1,random,repeated_games,1,33.3,,,,
12,1,random,marbles_risk,1,33.4,,,,
11,1,random,grid_bandit,0,47.4,21.88,1.0000,0.0180,0.1250
15,1,random,visual_recognition,1,32.1,,,,
14,1,random,serial_recall_v2,1,32.2,,,,
16,1,random,effort_foraging,1,32.1,,,,
17,1,random,tiny_alchemy,1,32.0,,,,
18,1,random,moral_machine,1,32.1,,,,
19,1,random,phishing_detection_v2,1,32.1,,,,
10,1,random,random_dot_motion_v2,0,159.3,28.51,1.0000,0.1003,0.2000
21,2,random,grid_bandit,0,49.0,15.59,1.0000,0.0170,0.0000
23,2,random,repeated_games,0,63.8,53.27,1.0000,0.5935,0.3500
22,2,random,marbles_risk,0,101.1,33.22,1.0000,0.0012,0.3636
24,2,random,serial_recall_v2,0,72.9,27.03,1.0000,0.1851,0.1111
20,2,random,random_dot_motion_v2,0,154.0,25.59,1.0000,0.0169,0.2000
27,2,random,tiny_alchemy,0,42.2,18.64,1.0000,0.1039,0.0000
28,2,random,moral_machine,0,61.6,35.97,1.0000,0.1528,0.3125
29,2,random,phishing_detection_v2,0,147.4,22.47,1.0000,0.0185,0.1364
25,2,random,visual_recognition,0,254.7,15.00,1.0000,0.0000,0.0000
26,2,random,effort_foraging,0,282.6,41.35,1.0000,0.1683,0.4091
31,3,random,grid_bandit,0,42.2,15.74,1.0000,0.0210,0.0000
33,3,random,repeated_games,0,57.0,51.85,1.0000,0.3386,0.5000
32,3,random,marbles_risk,0,94.0,28.70,1.0000,0.0019,0.2727
34,3,random,serial_recall_v2,0,72.5,27.03,1.0000,0.1851,0.1111
30,3,random,random_dot_motion_v2,0,147.4,23.89,1.0000,0.0397,0.1500
37,3,random,tiny_alchemy,0,42.2,16.51,1.0000,0.0432,0.0000
38,3,random,moral_machine,0,64.5,30.58,1.0000,0.1772,0.1875
39,3,random,phishing_detection_v2,0,148.7,39.61,1.0000,0.0539,0.4545
35,3,random,visual_recognition,0,254.8,15.00,1.0000,0.0000,0.0000
36,3,random,effort_foraging,0,281.7,27.46,1.0000,0.0963,0.1818
41,4,random,grid_bandit,0,42.3,44.79,1.0000,0.0772,0.5417
43,4,random,repeated_games,0,57.5,44.16,1.0000,0.4045,0.3000
42,4,random,marbles_risk,0,95.6,28.14,1.0000,0.0506,0.2273
44,4,random,serial_recall_v2,0,72.6,27.03,1.0000,0.1851,0.1111
40,4,random,random_dot_motion_v2,0,148.9,27.70,1.0000,0.0771,0.2000
47,4,random,tiny_alchemy,0,65.2,18.64,1.0000,0.1039,0.0000
48,4,random,moral_machine,0,64.1,28.32,1.0000,0.1662,0.1500
45,4,random,visual_recognition,0,254.9,40.00,1.0000,0.0000,0.5000
49,4,random,phishing_detection_v2,0,148.1,49.04,1.0000,0.0634,0.6364
46,4,random,effort_foraging,0,308.1,19.01,1.0000,0.1147,0.0000
51,5,random,grid_bandit,0,42.6,26.36,1.0000,0.0268,0.2083
53,5,random,repeated_games,0,57.5,35.93,1.0000,0.4551,0.1000
52,5,random,marbles_risk,0,92.5,19.89,1.0000,0.0098,0.0909
54,5,random,serial_recall_v2,0,72.7,27.03,1.0000,0.1851,0.1111
50,5,random,random_dot_motion_v2,0,148.4,23.90,1.0000,0.0399,0.1500
57,5,random,tiny_alchemy,0,42.1,17.26,1.0000,0.0645,0.0000
58,5,random,moral_machine,0,63.3,39.82,1.0000,0.2093,0.3500
59,5,random,phishing_detection_v2,0,147.8,20.76,1.0000,0.0347,0.0909
55,5,random,visual_recognition,0,254.8,15.00,1.0000,0.0000,0.0000
56,5,random,effort_foraging,0,256.1,47.24,1.0000,0.2719,0.4545
61,6,random,grid_bandit,0,43.0,15.53,1.0000,0.0152,0.0000
63,6,random,repeated_games,0,57.2,32.12,1.0000,0.3462,0.1000
62,6,random,marbles_risk,0,95.4,22.31,1.0000,0.0141,0.1364
