model_id,task_id,n_attempts,n_scored,n_complete,n_l3_measurable,completion_rate,l1_n,l1_mean,l1_sd,l1_min,l1_max,l2_n,l2_mean,l2_sd,l2_min,l2_max,l3_n,l3_mean,l3_sd,l3_min,l3_max,composite_n,composite_mean,composite_sd,composite_min,composite_max,l3_mean_incl_unmeasurable,composite_mean_incl_unmeasurable
gemini-3-flash-preview,effort_foraging,10,10,10,10,1.0,10,1.0,0.0,1.0,1.0,10,0.4548,0.1687,0.211,0.7084,10,0.1545,0.1138,0.0,0.2727,10,38.644,9.0486,22.49,53.43,0.1545,38.644
gemini-3-flash-preview,grid_bandit,10,10,9,10,0.9,10,0.96,0.1265,0.6,1.0,10,0.4928,0.1063,0.3184,0.615,10,0.7916,0.0982,0.625,0.9167,10,71.23,9.0756,51.39,82.04,0.7916,71.23
gemini-3-flash-preview,marbles_risk,10,10,10,10,1.0,10,1.0,0.0,1.0,1.0,10,0.9308,0.0459,0.8413,0.9666,10,0.8273,0.0516,0.7273,0.9091,10,88.943,3.2672,80.81,93.36,0.8273,88.943
gemini-3-flash-preview,moral_machine,10,10,9,9,0.9,10,0.98,0.0632,0.8,1.0,10,0.9169,0.0873,0.779,0.9823,9,0.9333,0.0707,0.8,1.0,9,94.28,5.3356,82.26,99.38,0.84,88.791
gemini-3-flash-preview,phishing_detection_v2,10,10,10,10,1.0,10,1.0,0.0,1.0,1.0,10,0.7555,0.1261,0.5331,0.9476,10,0.7273,0.1005,0.5455,0.8636,10,77.805,6.878,65.48,88.83,0.7273,77.805
gemini-3-flash-preview,random_dot_motion_v2,10,10,5,10,0.5,10,0.9,0.1054,0.8,1.0,10,0.2771,0.1728,0.0707,0.5837,10,0.595,0.1921,0.3,0.85,10,52.951,11.9129,35.2,74.19,0.595,52.951
gemini-3-flash-preview,repeated_games,10,10,10,8,1.0,10,1.0,0.0,1.0,1.0,10,0.5722,0.2161,0.1859,0.8444,8,0.525,0.147,0.2,0.7143,8,59.3162,13.7424,31.51,80.27,0.595,64.777
gemini-3-flash-preview,serial_recall_v2,10,10,0,10,0.0,10,0.6,0.0,0.6,0.6,10,0.6837,0.1334,0.4371,0.9043,10,0.4083,0.1744,0.25,0.8333,10,53.346,8.2409,44.11,65.96,0.4083,53.346
gemini-3-flash-preview,tiny_alchemy,10,10,8,9,0.8,10,0.92,0.1687,0.6,1.0,10,0.4659,0.2421,0.1516,0.8957,9,0.2963,0.1821,0.0,0.6667,9,46.4389,16.8747,20.3,79.68,0.2667,43.436
gemini-3-flash-preview,visual_recognition,10,10,10,10,1.0,10,1.0,0.0,1.0,1.0,10,0.2672,0.0954,0.0,0.3029,10,0.2313,0.2339,0.0,0.5625,10,35.916,12.9749,15.0,53.73,0.2313,35.916
gpt-5.4-nano,effort_foraging,10,10,8,9,0.8,10,0.92,0.1932,0.4,1.0,10,0.3672,0.2073,0.2025,0.7271,9,0.1364,0.1113,0.0,0.3182,9,34.6878,9.7942,22.13,53.36,0.1427,33.79
gpt-5.4-nano,grid_bandit,10,10,10,10,1.0,10,1.0,0.0,1.0,1.0,10,0.2366,0.1705,0.011,0.5213,10,0.6167,0.2104,0.1667,0.9167,10,54.114,14.8167,25.1,79.08,0.6167,54.114
gpt-5.4-nano,marbles_risk,10,10,3,5,0.3,10,0.66,0.2836,0.4,1.0,10,0.0801,0.1408,0.0,0.4558,5,0.4182,0.2349,0.2273,0.8182,5,39.154,18.8539,25.65,71.86,0.3091,28.158
gpt-5.4-nano,moral_machine,10,10,2,3,0.2,10,0.56,0.2633,0.4,1.0,10,0.3021,0.1293,0.1873,0.5293,3,0.4167,0.1258,0.3,0.55,3,49.5367,10.8849,39.37,61.02,0.125,25.226
gpt-5.4-nano,phishing_detection_v2,10,10,2,10,0.2,10,0.8,0.1633,0.4,1.0,10,0.6305,0.1305,0.4615,0.8388,10,0.7091,0.0862,0.5455,0.75,10,69.52,4.3098,62.54,78.36,0.7091,69.52
gpt-5.4-nano,random_dot_motion_v2,10,10,0,3,0.0,10,0.5,0.216,0.2,0.8,10,0.0947,0.1146,0.0,0.2773,3,0.3167,0.0289,0.3,0.35,3,30.3867,2.203,28.39,32.75,0.195,20.565
gpt-5.4-nano,repeated_games,10,10,3,4,0.3,10,0.54,0.3658,0.2,1.0,10,0.292,0.0565,0.1868,0.4018,4,0.3,0.1155,0.2,0.4,4,39.15,6.9208,32.54,45.33,0.12,24.321
gpt-5.4-nano,serial_recall_v2,10,10,6,10,0.6,10,0.84,0.2066,0.6,1.0,10,0.2133,0.0503,0.1851,0.346,10,0.3458,0.1965,0.0,0.5417,10,37.358,9.6359,21.48,50.05,0.3458,37.358
gpt-5.4-nano,tiny_alchemy,10,10,0,3,0.0,10,0.52,0.1033,0.4,0.6,10,0.5956,0.4265,0.0,0.9471,3,0.6667,0.2887,0.5,1.0,3,71.3533,9.5151,65.29,82.32,0.2,38.644
gpt-5.4-nano,visual_recognition,10,10,1,6,0.1,10,0.82,0.0632,0.8,1.0,10,0.1683,0.1373,0.0,0.3029,6,0.2604,0.2482,0.0,0.5625,6,30.0383,14.184,12.0,44.23,0.2562,31.003
kimi-k2.5,effort_foraging,10,10,9,10,0.9,10,0.98,0.0632,0.8,1.0,10,0.4915,0.2375,0.0008,0.7136,10,0.2182,0.1557,0.0,0.4545,10,42.811,11.9723,22.27,62.03,0.2182,42.811
kimi-k2.5,grid_bandit,10,10,2,4,0.2,10,0.5,0.3162,0.2,1.0,10,0.2708,0.2471,0.0,0.7288,4,0.6146,0.0399,0.5833,0.6667,4,56.3475,5.9202,47.68,60.76,0.3458,34.268
kimi-k2.5,marbles_risk,10,10,0,8,0.0,10,0.62,0.1989,0.4,0.8,10,0.7004,0.3519,0.0098,0.9666,8,0.6193,0.3149,0.0,0.9091,8,64.5662,29.3054,12.34,91.29,0.6455,66.087
kimi-k2.5,moral_machine,10,10,8,8,0.8,10,0.9,0.2539,0.2,1.0,10,0.5567,0.2776,0.0,0.9704,8,0.7578,0.1806,0.4,1.0,8,75.53,15.4831,48.42,96.54,0.6062,63.295
kimi-k2.5,phishing_detection_v2,10,10,9,10,0.9,10,0.98,0.0632,0.8,1.0,10,0.8007,0.0982,0.6301,0.943,10,0.6409,0.1015,0.5455,0.8636,10,74.77,6.4409,64.33,89.04,0.6409,74.77
kimi-k2.5,random_dot_motion_v2,10,10,0,9,0.0,10,0.64,0.2066,0.4,0.8,10,0.0623,0.0831,0.0002,0.2481,9,0.2206,0.1267,0.0,0.4,9,23.4533,8.3732,7.48,32.29,0.2486,24.209
kimi-k2.5,repeated_games,10,10,10,7,1.0,10,1.0,0.0,1.0,1.0,10,0.5229,0.174,0.2951,0.8154,7,0.4429,0.134,0.3,0.6429,7,54.2714,12.0169,41.94,73.93,0.41,53.8
kimi-k2.5,serial_recall_v2,10,10,0,6,0.0,10,0.58,0.0632,0.4,0.6,10,0.1591,0.1219,0.0,0.3261,6,0.2986,0.1302,0.0833,0.4167,6,32.1433,7.831,19.64,41.25,0.1792,23.228
kimi-k2.5,tiny_alchemy,10,10,0,5,0.0,10,0.48,0.1687,0.2,0.6,10,0.5638,0.4854,0.0,0.9471,5,0.7,0.2739,0.5,1.0,5,76.888,13.9373,65.87,92.15,0.35,44.435
kimi-k2.5,visual_recognition,10,10,1,9,0.1,10,0.82,0.0632,0.8,1.0,10,0.2372,0.126,0.0,0.303,9,0.2222,0.1825,0.0,0.5,9,32.6711,10.3448,20.82,47.61,0.2,30.604
qwen3-vl-235b-instruct,effort_foraging,10,10,2,4,0.2,10,0.84,0.0843,0.8,1.0,10,0.262,0.0817,0.2019,0.4501,4,0.1349,0.2027,0.0,0.4286,4,29.3925,10.5873,22.2,44.73,0.074,25.468
qwen3-vl-235b-instruct,grid_bandit,10,10,7,10,0.7,10,0.9,0.17,0.6,1.0,10,0.1818,0.1435,0.0023,0.3941,10,0.5192,0.2607,0.0833,0.8333,10,45.824,18.7142,13.25,70.46,0.5192,45.824
qwen3-vl-235b-instruct,marbles_risk,10,10,0,0,0.0,10,0.4,0.0,0.4,0.4,10,0.1785,0.3284,0.0,0.9666,0,,,,,0,,,,,0.15,19.746
qwen3-vl-235b-instruct,moral_machine,10,10,0,0,0.0,10,0.36,0.2951,0.0,0.8,10,0.1843,0.1445,0.0,0.3845,0,,,,,0,,,,,0.0,11.85
qwen3-vl-235b-instruct,phishing_detection_v2,10,10,0,10,0.0,10,0.8,0.0,0.8,0.8,10,0.397,0.1832,0.2088,0.7083,10,0.6375,0.2665,0.0,0.875,10,57.771,17.5613,19.31,74.29,0.6375,57.771
qwen3-vl-235b-instruct,random_dot_motion_v2,10,10,0,2,0.0,10,0.4,0.1633,0.2,0.8,10,0.0107,0.0235,0.0,0.0673,2,0.2416,0.1296,0.15,0.3333,2,22.265,0.5728,21.86,22.67,0.0483,8.792
qwen3-vl-235b-instruct,repeated_games,10,10,3,4,0.3,10,0.56,0.3864,0.2,1.0,10,0.1665,0.1548,0.0,0.3411,4,0.425,0.0957,0.3,0.5,4,45.65,5.0006,41.33,51.94,0.17,22.728
