model_id,task_id,n_scored,n_l3_zero,n_l3_nonzero,flip_rate,l3_max,note
gemini-3-flash-preview,effort_foraging,10,2,8,0.8,0.2727,a single session would have reported one of these at random
gemini-3-flash-preview,moral_machine,10,1,9,0.9,1.0,a single session would have reported one of these at random
gemini-3-flash-preview,tiny_alchemy,10,2,8,0.8,0.6667,a single session would have reported one of these at random
gemini-3-flash-preview,visual_recognition,10,2,8,0.8,0.5625,a single session would have reported one of these at random
gpt-5.4-nano,effort_foraging,10,2,8,0.8,0.5,a single session would have reported one of these at random
gpt-5.4-nano,marbles_risk,10,3,7,0.7,0.8182,a single session would have reported one of these at random
gpt-5.4-nano,moral_machine,10,7,3,0.3,0.55,a single session would have reported one of these at random
gpt-5.4-nano,random_dot_motion_v2,10,5,5,0.5,0.5,a single session would have reported one of these at random
gpt-5.4-nano,repeated_games,10,6,4,0.4,0.4,a single session would have reported one of these at random
gpt-5.4-nano,serial_recall_v2,10,1,9,0.9,0.5417,a single session would have reported one of these at random
gpt-5.4-nano,tiny_alchemy,10,7,3,0.3,1.0,a single session would have reported one of these at random
gpt-5.4-nano,visual_recognition,10,4,6,0.6,0.5625,a single session would have reported one of these at random
kimi-k2.5,effort_foraging,10,2,8,0.8,0.4286,a single session would have reported one of these at random
kimi-k2.5,grid_bandit,10,5,5,0.5,1.0,a single session would have reported one of these at random
kimi-k2.5,marbles_risk,10,1,9,0.9,1.0,a single session would have reported one of these at random
kimi-k2.5,moral_machine,10,2,8,0.8,1.0,a single session would have reported one of these at random
kimi-k2.5,random_dot_motion_v2,10,1,9,0.9,0.5,a single session would have reported one of these at random
kimi-k2.5,repeated_games,10,1,9,0.9,0.6429,a single session would have reported one of these at random
kimi-k2.5,serial_recall_v2,10,4,6,0.6,0.4167,a single session would have reported one of these at random
kimi-k2.5,tiny_alchemy,10,5,5,0.5,1.0,a single session would have reported one of these at random
kimi-k2.5,visual_recognition,10,3,7,0.7,0.5,a single session would have reported one of these at random
qwen3-vl-235b-instruct,effort_foraging,8,6,2,0.25,0.4286,a single session would have reported one of these at random
qwen3-vl-235b-instruct,marbles_risk,10,7,3,0.3,0.5,a single session would have reported one of these at random
qwen3-vl-235b-instruct,phishing_detection_v2,8,1,7,0.875,0.875,a single session would have reported one of these at random
qwen3-vl-235b-instruct,random_dot_motion_v2,10,8,2,0.2,0.3333,a single session would have reported one of these at random
qwen3-vl-235b-instruct,repeated_games,9,6,3,0.3333,0.5,a single session would have reported one of these at random
qwen3-vl-235b-instruct,serial_recall_v2,9,5,4,0.4444,0.625,a single session would have reported one of these at random
qwen3-vl-235b-instruct,tiny_alchemy,8,3,5,0.625,1.0,a single session would have reported one of these at random
