convention,model_id,point_estimate,p_rank1,p_rank2,p_rank3,p_rank4
failed_cells_as_0,gemini-3-flash-preview,62.23,1.0,0.0,0.0,0.0
failed_cells_as_0,gpt-5.4-nano,36.77,0.0,0.0,1.0,0.0
failed_cells_as_0,kimi-k2.5,46.14,0.0,1.0,0.0,0.0
failed_cells_as_0,qwen3-vl-235b-instruct,28.09,0.0,0.0,0.0,1.0
ok_cells_only,gemini-3-flash-preview,62.23,1.0,0.0,0.0,0.0
ok_cells_only,gpt-5.4-nano,36.77,0.0,0.0,0.9995,0.0005
ok_cells_only,kimi-k2.5,46.14,0.0,1.0,0.0,0.0
ok_cells_only,qwen3-vl-235b-instruct,28.09,0.0,0.0,0.0005,0.9995
l3_measurable_only,gemini-3-flash-preview,62.42,1.0,0.0,0.0,0.0
l3_measurable_only,gpt-5.4-nano,46.9,0.0,0.0005,0.076,0.9235
l3_measurable_only,kimi-k2.5,52.94,0.0,0.795,0.2045,0.0005
l3_measurable_only,qwen3-vl-235b-instruct,50.9,0.0,0.2045,0.7195,0.076
