model_id,task_id,signature,n,k_passed,pass_rate,wilson_lo,wilson_hi,effect_size_mean,effect_size_sd,unstable,n_untestable,n_attempted,note
gemini-3-flash-preview,effort_foraging,above_chance_mvt_match,10,0,0.0,0.0,0.2775,-0.3575,0.1101,False,0,10,
gemini-3-flash-preview,effort_foraging,above_chance_total_reward,10,0,0.0,0.0,0.2775,-0.1588,0.1226,False,0,10,
gemini-3-flash-preview,effort_foraging,harvest_rt_speedup,10,0,0.0,0.0,0.2775,0.0197,0.1405,False,0,10,
gemini-3-flash-preview,effort_foraging,travel_cost_residence_effect,5,0,0.0,0.0,0.4345,0.015,0.0137,False,5,10,
gemini-3-flash-preview,grid_bandit,above_chance_reward,10,10,1.0,0.7225,1.0,0.2991,0.0506,False,0,10,
gemini-3-flash-preview,grid_bandit,kraken_avoidance_in_risky,10,9,0.9,0.5958,0.9821,-0.3284,0.0687,True,0,10,
gemini-3-flash-preview,grid_bandit,value_directed_exploitation,10,7,0.7,0.3968,0.8922,-0.308,0.1867,True,0,10,
gemini-3-flash-preview,grid_bandit,within_block_learning,10,9,0.9,0.5958,0.9821,0.3283,0.1224,True,0,10,
gemini-3-flash-preview,grid_bandit,within_block_rt_speedup,10,0,0.0,0.0,0.2775,0.2125,0.1844,False,0,10,
gemini-3-flash-preview,marbles_risk,above_chance_ev_optimal,10,10,1.0,0.7225,1.0,0.4667,0.0393,False,0,10,
gemini-3-flash-preview,marbles_risk,ev_difference_rt_effect,10,0,0.0,0.0,0.2775,0.0711,0.1233,False,0,10,
gemini-3-flash-preview,marbles_risk,ev_sensitivity,10,10,1.0,0.7225,1.0,0.5616,0.0332,False,0,10,
gemini-3-flash-preview,marbles_risk,magnitude_effect_high_payoff,10,9,0.9,0.5958,0.9821,0.4109,0.1107,True,0,10,
gemini-3-flash-preview,moral_machine,age_preference_save_young,9,9,1.0,0.7008,1.0,0.5,0.0,False,1,10,
gemini-3-flash-preview,moral_machine,intervention_aversion,0,0,,,,,,False,10,10,untestable in every session — no pass rate is defined
gemini-3-flash-preview,moral_machine,legality_preference_save_lawful,8,3,0.375,0.1368,0.6943,0.2708,0.3326,True,2,10,
