sweep,run_index,repeat_index,replicate_id,model_id,task_id,rc,wall_time,scored,l1_complete,l3_measurable,composite,l1,l2,l3,l3_n_testable,l3_n_untestable,l3_n_errors,l3_coverage,n_trials,observation_mode,git_sha,session_id
vision_ablation_20260725_224706,0,0,vision_ablation_20260725_224706#0,gemini-3-flash-preview,moral_machine,0,,True,True,True,96.94,1.0000,0.9127,1.0000,3,2,0,0.7273,40,dom,b92622e95b971797f984fef0bd3c60647205426e,6e138eee-29b8-4a67-98d2-cab32f83e57d
vision_ablation_20260725_224706,1,0,vision_ablation_20260725_224706#0,gemini-3-flash-preview,phishing_detection_v2,0,,True,True,True,76.90,1.0000,0.8594,0.6364,4,0,0,1.0,60,dom,b92622e95b971797f984fef0bd3c60647205426e,d267ddd7-73da-4fd3-bdd9-356f2a4ba705
vision_ablation_20260725_224706,2,0,vision_ablation_20260725_224706#0,gemini-3-flash-preview,random_dot_motion_v2,0,,True,False,True,29.57,0.8000,0.0019,0.3500,4,0,0,1.0,122,dom,b92622e95b971797f984fef0bd3c60647205426e,4898e787-704b-49db-aa2f-e5697fc556b8
vision_ablation_20260725_224706,3,0,vision_ablation_20260725_224706#0,gemini-3-flash-preview,visual_recognition,0,,True,False,True,37.00,0.8000,0.0000,0.5000,3,0,0,1.0,146,dom,b92622e95b971797f984fef0bd3c60647205426e,a7d9d133-32f5-44e9-bd8f-b1158a25dbad
vision_ablation_20260725_224706,5,0,vision_ablation_20260725_224706#0,gpt-5.4-nano,phishing_detection_v2,0,,True,False,True,65.73,0.8000,0.4637,0.7500,3,1,0,0.7273,110,dom,b92622e95b971797f984fef0bd3c60647205426e,54a5ff71-6d9a-41ba-b03b-c56b497a0e8c
vision_ablation_20260725_224706,6,0,vision_ablation_20260725_224706#0,gpt-5.4-nano,random_dot_motion_v2,0,,True,False,False,21.51,0.4000,0.4430,0.0000,0,4,0,0.0,7,dom,b92622e95b971797f984fef0bd3c60647205426e,cc01d23a-a7d7-4562-b157-5815f2ad59be
vision_ablation_20260725_224706,7,0,vision_ablation_20260725_224706#0,gpt-5.4-nano,visual_recognition,0,,True,False,False,12.00,0.8000,0.0000,0.0000,0,3,0,0.0,105,dom,b92622e95b971797f984fef0bd3c60647205426e,b1d8d6bd-19c5-4cbb-b9b9-86cd752526b1
vision_ablation_20260725_224706,8,0,vision_ablation_20260725_224706#0,kimi-k2.5,moral_machine,0,,True,False,False,24.74,0.8000,0.3640,0.0000,0,5,0,0.0,43,dom,b92622e95b971797f984fef0bd3c60647205426e,e79f8df2-4a2d-4a1d-9887-dc7ea1f0ad1a
vision_ablation_20260725_224706,9,0,vision_ablation_20260725_224706#0,kimi-k2.5,phishing_detection_v2,0,,True,False,True,35.48,0.8000,0.2813,0.2727,4,0,0,1.0,159,dom,b92622e95b971797f984fef0bd3c60647205426e,70dda318-8fc5-48c5-a33b-a1145bf12d2e
vision_ablation_20260725_224706,11,0,vision_ablation_20260725_224706#0,kimi-k2.5,visual_recognition,0,,True,False,False,12.00,0.8000,0.0000,0.0000,0,3,0,0.0,107,dom,b92622e95b971797f984fef0bd3c60647205426e,cf1b3d7a-f108-497f-bc5d-f23d0e38c6a8
vision_ablation_20260725_224706,14,0,vision_ablation_20260725_224706#0,qwen3-vl-235b-instruct,random_dot_motion_v2,0,,True,False,False,3.00,0.2000,0.0000,0.0000,0,4,0,0.0,3,dom,b92622e95b971797f984fef0bd3c60647205426e,7a8c1e87-773f-4330-a3e0-627e4e718942
