,rt,stimulus,key_press,ListLength,Trial_index,Phase,correct,ExperimentalPhase,Block,word1,word2,save,date,subject_id,trial_type,trial_index,time_elapsed,internal_node_id,response,cue,target,SequenceLength,sequence,letterSeen,queriedPosition,Stimulus_type,TrialType,timeMs,timeMin,score,correct_01,validTrials,validID,W2VWordPairsSim,SimBins
1,,,,30.0,1.0,LearningResponse,TRUE,True,1.0,gravy,grits,True,29_8_2023_11_35_35,0assan0nym4bqrq,typed-response,6,18967,0.0-6.0,grits,gravy,grits,,,,,,,,,,1.0,False,False,0.9999999222155023,5
2,,,,30.0,1.0,LearningResponse,TRUE,True,1.0,gravy,grits,True,29_8_2023_11_35_35,0assan0nym4bqrq,typed-response,9,24163,0.0-9.0,gravy,grits,gravy,,,,,,,,,,1.0,False,False,0.9999999222155023,5
4,,,,30.0,2.0,LearningResponse,TRUE,True,1.0,hanger,lime,True,29_8_2023_11_35_35,0assan0nym4bqrq,typed-response,14,33818,0.0-14.0,lime,hanger,lime,,,,,,,,,,1.0,False,False,0.17717069301348795,1
5,,,,30.0,2.0,LearningResponse,TRUE,True,1.0,hanger,lime,True,29_8_2023_11_35_35,0assan0nym4bqrq,typed-response,17,38992,0.0-17.0,hanger,lime,hanger,,,,,,,,,,1.0,False,False,0.17717069301348795,1
7,,,,30.0,3.0,LearningResponse,TRUE,True,1.0,record,kite,True,29_8_2023_11_35_35,0assan0nym4bqrq,typed-response,22,48767,0.0-22.0,kite,record,kite,,,,,,,,,,1.0,False,False,0.1502668807982888,1
8,,,,30.0,3.0,LearningResponse,TRUE,True,1.0,record,kite,True,29_8_2023_11_35_35,0assan0nym4bqrq,typed-response,25,56045,0.0-25.0,record,kite,record,,,,,,,,,,1.0,False,False,0.1502668807982888,1
10,,,,30.0,4.0,LearningResponse,TRUE,True,1.0,tape,wire,True,29_8_2023_11_35_35,0assan0nym4bqrq,typed-response,30,65478,0.0-30.0,wire,tape,wire,,,,,,,,,,1.0,False,False,0.5010969904798186,3
11,,,,30.0,4.0,LearningResponse,TRUE,True,1.0,tape,wire,True,29_8_2023_11_35_35,0assan0nym4bqrq,typed-response,33,70484,0.0-33.0,tape,wire,tape,,,,,,,,,,1.0,False,False,0.5010969904798186,3
13,,,,30.0,5.0,LearningResponse,TRUE,True,1.0,crepe,lens,True,29_8_2023_11_35_35,0assan0nym4bqrq,typed-response,38,80222,0.0-38.0,lens,crepe,lens,,,,,,,,,,1.0,False,False,0.08962399995843817,1
14,,,,30.0,5.0,LearningResponse,TRUE,True,1.0,crepe,lens,True,29_8_2023_11_35_35,0assan0nym4bqrq,typed-response,41,86263,0.0-41.0,crepe,lens,crepe,,,,,,,,,,1.0,False,False,0.08962399995843817,1
16,,,,30.0,6.0,LearningResponse,TRUE,True,1.0,sundae,sushi,True,29_8_2023_11_35_35,0assan0nym4bqrq,typed-response,46,98240,0.0-46.0,sushi,sundae,sushi,,,,,,,,,,1.0,False,False,0.6102107258645089,4
17,,,,30.0,6.0,LearningResponse,TRUE,True,1.0,sundae,sushi,True,29_8_2023_11_35_35,0assan0nym4bqrq,typed-response,49,103508,0.0-49.0,sundae,sushi,sundae,,,,,,,,,,1.0,False,False,0.6102107258645089,4
19,,,,30.0,7.0,LearningResponse,TRUE,True,1.0,makeup,paint,True,29_8_2023_11_35_35,0assan0nym4bqrq,typed-response,54,112995,0.0-54.0,paint,makeup,paint,,,,,,,,,,1.0,False,False,0.5059358101695669,3
20,,,,30.0,7.0,LearningResponse,TRUE,True,1.0,makeup,paint,True,29_8_2023_11_35_35,0assan0nym4bqrq,typed-response,57,118778,0.0-57.0,makeup,paint,makeup,,,,,,,,,,1.0,False,False,0.5059358101695669,3
22,,,,30.0,8.0,LearningResponse,TRUE,True,1.0,bear,grass,True,29_8_2023_11_35_35,0assan0nym4bqrq,typed-response,62,128946,0.0-62.0,grass,bear,grass,,,,,,,,,,1.0,False,False,0.15006241400216377,1
23,,,,30.0,8.0,LearningResponse,TRUE,True,1.0,bear,grass,True,29_8_2023_11_35_35,0assan0nym4bqrq,typed-response,65,133758,0.0-65.0,bear,grass,bear,,,,,,,,,,1.0,False,False,0.15006241400216377,1
25,,,,30.0,9.0,LearningResponse,TRUE,True,1.0,candle,lamp,True,29_8_2023_11_35_35,0assan0nym4bqrq,typed-response,70,144219,0.0-70.0,lamp,candle,lamp,,,,,,,,,,1.0,False,False,0.6987496633198526,4
26,,,,30.0,9.0,LearningResponse,TRUE,True,1.0,candle,lamp,True,29_8_2023_11_35_35,0assan0nym4bqrq,typed-response,73,149058,0.0-73.0,candle,lamp,candle,,,,,,,,,,1.0,False,False,0.6987496633198526,4
